title,city,location,bedrooms,price_inr,area_sqft,estimated_monthly_rent,price_lakhs,price_lakhs_psf,down_payment,loan_amount,monthly_emi,effective_emi,total_tax_saved,final_property_value,final_renting_wealth,decision,wealth_difference
"3 BHK Apartment in malad west, Mumbai",Mumbai,malad west,3,8737699.0,787.8,33499,87.38,0.1109,2184425,6553274,50807,42710,1943416,28022984,27839227,BUYING is financially better,183758
"3 BHK Apartment in sagar co-operative housing society, Mumbai",Mumbai,sagar co-operative housing society,3,16028172.0,1530.6,64471,160.28,0.1047,4007043,12021129,93200,84779,2021034,51404519,48773050,BUYING is financially better,2631469
"3 BHK Apartment in deccan hills, Bangalore",Bangalore,deccan hills,3,8808081.0,1144.0,28867,88.08,0.077,2202020,6606061,51217,43112,1945055,28248709,31785771,RENTING is financially better,3537062
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,13379828.0,1621.2,57673,133.8,0.0825,3344957,10034871,77800,69449,2004340,42910921,37787203,BUYING is financially better,5123718
"3 BHK Apartment in chintamani nagar, Bangalore",Bangalore,chintamani nagar,3,10612009.0,1609.7,44042,106.12,0.0659,2653002,7959007,61706,53475,1975510,34034150,31261635,BUYING is financially better,2772515
"3 BHK Apartment in laxmi nagar, Mumbai",Mumbai,laxmi nagar,3,12530900.0,952.3,49416,125.31,0.1316,3132725,9398175,72864,64546,1996397,40188294,38881050,BUYING is financially better,1307244
"3 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,3,12988224.0,1194.9,48866,129.88,0.1087,3247056,9741168,75523,67184,2001375,41654994,42087195,RENTING is financially better,432201
"2 BHK Apartment in midc, Bangalore",Bangalore,midc,2,6708445.0,733.9,26678,67.08,0.0914,1677111,5031334,39008,31237,1865057,21514892,20645690,BUYING is financially better,869202
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,13438140.0,1395.2,53842,134.38,0.0963,3359535,10078605,78139,69786,2004708,43097935,41051897,BUYING is financially better,2046038
"2 BHK Apartment in laxmi nagar, Mumbai",Mumbai,laxmi nagar,2,3242719.0,851.4,13577,32.43,0.0381,810680,2432039,18856,13456,1295812,10399839,9462233,BUYING is financially better,937606
"4 BHK Apartment in industrial area, Bangalore",Bangalore,industrial area,4,9366577.0,1290.0,37815,93.67,0.0726,2341644,7024933,54464,46318,1955190,30039881,28396317,BUYING is financially better,1643564
"3 BHK Apartment in kotwal nagar, Mumbai",Mumbai,kotwal nagar,3,3914895.0,885.7,13186,39.15,0.0442,978724,2936171,22764,16527,1496955,12555599,13857678,RENTING is financially better,1302079
"4 BHK Apartment in tulaja bhawani nagar, Bangalore",Bangalore,tulaja bhawani nagar,4,3437829.0,1120.2,13973,34.38,0.0307,859457,2578372,19990,14336,1356940,11025583,10351188,BUYING is financially better,674395
"2 BHK Apartment in midc, Mumbai",Mumbai,midc,2,22359739.0,1696.7,91254,223.6,0.1318,5589935,16769804,130016,121496,2044939,71710712,67041027,BUYING is financially better,4669685
"3 BHK Apartment in kotwal nagar, Bangalore",Bangalore,kotwal nagar,3,12702741.0,806.0,42554,127.03,0.1576,3175685,9527056,73863,65537,1998267,40739411,45139624,RENTING is financially better,4400213
"2 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,2,7231639.0,822.2,31284,72.32,0.088,1807910,5423729,42050,34160,1893547,23192846,20338165,BUYING is financially better,2854681
"4 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,4,14547339.0,1283.4,65016,145.47,0.1133,3636835,10910504,84589,76207,2011700,46655287,39329950,BUYING is financially better,7325337
"4 BHK Apartment in hinjawadi phase 1, Bangalore",Bangalore,hinjawadi phase 1,4,26278146.0,1390.6,109211,262.78,0.189,6569536,19708610,152801,144233,2056319,84277574,77297170,BUYING is financially better,6980404
"2 BHK Apartment in midc, Bangalore",Bangalore,midc,2,6001514.0,794.8,22689,60.02,0.0755,1500378,4501136,34897,27338,1814140,19247668,19364365,RENTING is financially better,116697
"4 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,4,17099571.0,1442.4,81322,171.0,0.1185,4274893,12824678,99430,90980,2027788,54840641,42509683,BUYING is financially better,12330957
"4 BHK Apartment in jadhav nagar, Bangalore",Bangalore,jadhav nagar,4,4684522.0,1346.9,17188,46.85,0.0348,1171130,3513392,27239,20333,1657464,15023897,15511414,RENTING is financially better,487518
"2 BHK Apartment in malad west, Mumbai",Mumbai,malad west,2,42451568.0,1619.8,172349,424.52,0.2621,10612892,31838676,246845,238208,2072797,136147930,127968108,BUYING is financially better,8179822
"5 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,5,23398281.0,1452.8,83647,233.98,0.1611,5849570,17548711,136055,127522,2047955,75041457,79149961,RENTING is financially better,4108504
"4 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,4,13448540.0,1563.5,46694,134.49,0.086,3362135,10086405,78200,69847,2004773,43131290,46543279,RENTING is financially better,3411989
"4 BHK Apartment in gawade nagar, Bangalore",Bangalore,gawade nagar,4,4999554.0,1568.1,18460,50.0,0.0319,1249888,3749666,29071,21968,1704643,16034247,16466376,RENTING is financially better,432129
"3 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,3,11663185.0,975.0,44169,116.63,0.1196,2915796,8747389,67818,59539,1986952,37405414,37574645,RENTING is financially better,169231
"3 BHK Apartment in mohan nagar co-op society, Bangalore",Bangalore,mohan nagar co-op society,3,28503920.0,1555.7,102760,285.04,0.1832,7125980,21377940,165743,157151,2062021,91415933,95767313,RENTING is financially better,4351380
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,17451020.0,864.6,80524,174.51,0.2018,4362755,13088265,101473,93015,2030003,55967785,45258588,BUYING is financially better,10709197
"2 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,2,2354863.0,918.6,10711,23.55,0.0256,588716,1766147,13693,9595,983415,7552365,6224963,BUYING is financially better,1327402
"4 BHK Apartment in prabhag 36, Mumbai",Mumbai,prabhag 36,4,16587227.0,1665.3,68948,165.87,0.0996,4146807,12440420,96450,88015,2024558,53197484,48782142,BUYING is financially better,4415342
"3 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,3,12829270.0,1368.4,45286,128.29,0.0938,3207318,9621952,74599,66267,1999645,41145207,43836528,RENTING is financially better,2691321
"3 BHK Apartment in kaspate wasti, Mumbai",Mumbai,kaspate wasti,3,18440187.0,1741.6,76616,184.4,0.1059,4610047,13830140,107225,98752,2033556,59140178,54257557,BUYING is financially better,4882621
"4 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,4,13601609.0,1384.8,60428,136.02,0.0982,3400402,10201207,79090,70733,2005738,43622203,37047431,BUYING is financially better,6574771
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,8901539.0,830.5,32212,89.02,0.1072,2225385,6676154,51760,43647,1947230,28548441,29815534,RENTING is financially better,1267092
"3 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,3,12178480.0,1591.7,45449,121.78,0.0765,3044620,9133860,70815,62512,1992561,39058035,39744618,RENTING is financially better,686582
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,11034710.0,683.2,46580,110.35,0.1615,2758678,8276032,64164,55914,1980111,35389810,31911738,BUYING is financially better,3478072
"3 BHK Apartment in malwadi, Bangalore",Bangalore,malwadi,3,22010589.0,1432.3,88278,220.11,0.1537,5502647,16507942,127986,119470,2043925,70590941,67171998,BUYING is financially better,3418942
"3 BHK Apartment in saint tukaram nagar, Mumbai",Mumbai,saint tukaram nagar,3,13379740.0,1382.3,59181,133.8,0.0968,3344935,10034805,77800,69448,2004340,42910639,36641538,BUYING is financially better,6269101
"3 BHK Apartment in tarawade vasti, Bangalore",Bangalore,tarawade vasti,3,9142272.0,1163.9,39780,91.42,0.0785,2285568,6856704,53160,45029,1951474,29320505,25536478,BUYING is financially better,3784027
"2 BHK Apartment in bellagio, Bangalore",Bangalore,bellagio,2,9635367.0,1069.8,36662,96.35,0.0901,2408842,7226525,56027,47862,1959644,30901927,30910792,RENTING is financially better,8865
"4 BHK Apartment in powai, Mumbai",Mumbai,powai,4,6077802.0,1536.2,24252,60.78,0.0396,1519450,4558352,35341,27757,1820230,19492334,18642631,BUYING is financially better,849704
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,4084082.0,1233.8,14780,40.84,0.0331,1021020,3063062,23748,17335,1539144,13098204,13678846,RENTING is financially better,580642
"4 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,4,10515609.0,1073.4,40919,105.16,0.098,2628902,7886707,61146,52920,1974228,33724983,33045354,BUYING is financially better,679629
"3 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,3,12696666.0,1345.1,58926,126.97,0.0944,3174166,9522500,73828,65502,1998201,40719928,32670196,BUYING is financially better,8049732
"2 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,2,17398722.0,1414.3,58060,173.99,0.123,4349680,13049042,101169,92712,2029673,55800058,61998167,RENTING is financially better,6198109
"3 BHK Apartment in k. k. market, Bangalore",Bangalore,k. k. market,3,5645282.0,691.1,19262,56.45,0.0817,1411320,4233962,32826,25405,1780983,18105184,19794630,RENTING is financially better,1689446
"3 BHK Apartment in munjaba vasti, Bangalore",Bangalore,munjaba vasti,3,14451010.0,827.0,52169,144.51,0.1747,3612752,10838258,84029,75649,2011092,46346347,48498204,RENTING is financially better,2151857
"3 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,3,14949377.0,1506.3,64797,149.49,0.0992,3737344,11212033,86927,78534,2014234,47944677,41947641,BUYING is financially better,5997036
"3 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,3,6558999.0,723.6,30095,65.59,0.0906,1639750,4919249,38139,30407,1855588,21035598,17139694,BUYING is financially better,3895905
"4 BHK Apartment in nilanjali society, Mumbai",Mumbai,nilanjali society,4,29838191.0,1502.7,113655,298.38,0.1986,7459548,22378643,173501,164905,2063052,95695121,95629585,BUYING is financially better,65536
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,2513731.0,797.5,9242,25.14,0.0315,628433,1885298,14617,10265,1044463,8061876,8309159,RENTING is financially better,247283
"3 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,3,4887455.0,1690.1,17360,48.87,0.0289,1221864,3665591,28419,21382,1688959,15674730,16618168,RENTING is financially better,943438
"4 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,4,10771469.0,1473.1,40549,107.71,0.0731,2692867,8078602,62633,54395,1977246,34545560,34886404,RENTING is financially better,340843
"3 BHK Apartment in mohan nagar co-op society, Bangalore",Bangalore,mohan nagar co-op society,3,11550025.0,1366.7,46161,115.5,0.0845,2887506,8662519,67160,58887,1985720,37042495,35372000,BUYING is financially better,1670495
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,6814162.0,891.2,24688,68.14,0.0765,1703540,5110622,39623,31824,1871756,21853941,22801434,RENTING is financially better,947493
"3 BHK Apartment in kotwal nagar, Bangalore",Bangalore,kotwal nagar,3,3186796.0,1251.3,15016,31.87,0.0255,796699,2390097,18530,13205,1278122,10220486,8028516,BUYING is financially better,2191971
"3 BHK Apartment in hinjawadi phase 1, Bangalore",Bangalore,hinjawadi phase 1,3,1733161.0,873.5,7525,17.33,0.0198,433290,1299871,10078,7055,725608,5558482,4853541,BUYING is financially better,704941
"3 BHK Apartment in khese park, Bangalore",Bangalore,khese park,3,3040653.0,834.0,12125,30.41,0.0365,760163,2280490,17681,12555,1230132,9751786,9332757,BUYING is financially better,419029
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,11262160.0,1526.6,51745,112.62,0.0738,2815540,8446620,65487,57226,1982587,36119273,29376454,BUYING is financially better,6742819
"3 BHK Apartment in bankar vasti, Bangalore",Bangalore,bankar vasti,3,3933727.0,1336.2,17786,39.34,0.0294,983432,2950295,22874,16616,1501920,12615995,10479408,BUYING is financially better,2136588
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,12102165.0,1442.8,55061,121.02,0.0839,3025541,9076624,70371,62072,1991730,38813283,31980241,BUYING is financially better,6833042
"2 BHK Apartment in prabhag 36, Mumbai",Mumbai,prabhag 36,2,11922756.0,1209.4,47202,119.23,0.0986,2980689,8942067,69328,61037,1989777,38237894,36854190,BUYING is financially better,1383703
"4 BHK Apartment in kishkinda nagar, Mumbai",Mumbai,kishkinda nagar,4,21284719.0,1496.6,76650,212.85,0.1422,5321180,15963539,123765,115258,2041817,68262977,71576013,RENTING is financially better,3313036
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,17550690.0,1266.0,71864,175.51,0.1386,4387672,13163018,102053,93592,2030631,56287440,52442451,BUYING is financially better,3844990
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,7892960.0,1051.9,35395,78.93,0.075,1973240,5919720,45896,37891,1920999,25313792,21248744,BUYING is financially better,4065048
"5 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,5,16364502.0,1565.9,56064,163.65,0.1045,4091126,12273376,95155,86726,2023154,52483175,57207805,RENTING is financially better,4724630
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,8266700.0,771.3,31822,82.67,0.1072,2066675,6200025,48069,40020,1931700,26512427,26240815,BUYING is financially better,271612
"3 BHK Apartment in yashwant nagar, Mumbai",Mumbai,yashwant nagar,3,13225634.0,1313.8,54328,132.26,0.1007,3306408,9919226,76904,68556,2003368,42416400,39387108,BUYING is financially better,3029292
"4 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,4,12384629.0,1309.4,47907,123.85,0.0946,3096157,9288472,72013,63702,1994805,39719183,39135064,BUYING is financially better,584119
"3 BHK Apartment in kotwal nagar, Mumbai",Mumbai,kotwal nagar,3,15153717.0,1084.0,55714,151.54,0.1398,3788429,11365288,88115,79717,2015522,48600023,50090933,RENTING is financially better,1490910
"2 BHK Apartment in midc, Mumbai",Mumbai,midc,2,37524923.0,1379.4,134809,375.25,0.272,9381231,28143692,218198,209577,2068991,120347512,126435045,RENTING is financially better,6087533
"3 BHK Apartment in mohan nagar co-op society, Bangalore",Bangalore,mohan nagar co-op society,3,17179945.0,1499.4,62221,171.8,0.1146,4294986,12884959,99897,91446,2028294,55098411,57504461,RENTING is financially better,2406050
"3 BHK Apartment in kemse vasti, Bangalore",Bangalore,kemse vasti,3,5736616.0,795.4,23286,57.37,0.0721,1434154,4302462,33357,25899,1789897,18398105,17295831,BUYING is financially better,1102274
"3 BHK Apartment in wadmukhwadi, Mumbai",Mumbai,wadmukhwadi,3,5052853.0,1176.7,17878,50.53,0.0429,1263213,3789640,29381,22248,1711942,16205184,17233315,RENTING is financially better,1028131
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,9896894.0,802.9,39401,98.97,0.1233,2474224,7422670,57548,49365,1963977,31740680,30425518,BUYING is financially better,1315162
"4 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,4,7545957.0,1471.2,27330,75.46,0.0513,1886489,5659468,43878,35931,1907255,24200906,25257235,RENTING is financially better,1056328
"3 BHK Apartment in midc, Bangalore",Bangalore,midc,3,8831362.0,1229.9,34280,88.31,0.0718,2207840,6623522,51352,43245,1945597,28323374,27817261,BUYING is financially better,506113
"3 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,3,6333210.0,1296.7,25568,63.33,0.0488,1583302,4749908,36826,29157,1840621,20311462,19200628,BUYING is financially better,1110834
"5 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,5,23500494.0,1551.4,76586,235.0,0.1515,5875124,17625370,136649,128115,2048252,75369268,85135099,RENTING is financially better,9765831
"3 BHK Apartment in meeta nagar, Mumbai",Mumbai,meeta nagar,3,10308527.0,928.1,45225,103.09,0.1111,2577132,7731395,59941,51730,1970797,33060843,28512848,BUYING is financially better,4547994
"4 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,4,14059655.0,1472.6,51367,140.6,0.0955,3514914,10544741,81753,73384,2008626,45091218,46720966,RENTING is financially better,1629748
"4 BHK Apartment in ashok nagar, Bangalore",Bangalore,ashok nagar,4,12669164.0,1324.2,56612,126.69,0.0957,3167291,9501873,73668,65343,1997902,40631725,34259684,BUYING is financially better,6372041
"3 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,3,7964174.0,857.3,31914,79.64,0.0929,1991044,5973130,46310,38297,1923038,25542185,24326328,BUYING is financially better,1215857
"4 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,4,17736027.0,1334.2,65955,177.36,0.1329,4434007,13302020,103130,94666,2031511,56881841,58059637,RENTING is financially better,1177795
"2 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,2,9481342.0,1084.7,41278,94.81,0.0874,2370336,7111006,55132,46977,1957092,30407948,26466392,BUYING is financially better,3941556
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,8164266.0,842.5,36651,81.64,0.0969,2041066,6123200,47473,39437,1928767,26183907,21949241,BUYING is financially better,4234666
"3 BHK Apartment in powai, Mumbai",Mumbai,powai,3,8426346.0,698.9,27294,84.26,0.1206,2106586,6319760,48997,40930,1936168,27024433,30652664,RENTING is financially better,3628231
"2 BHK Apartment in minakshi puram, Mumbai",Mumbai,minakshi puram,2,19085597.0,1583.4,76323,190.86,0.1205,4771399,14314198,110978,102497,2035430,61210095,58415381,BUYING is financially better,2794714
"4 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,4,13321280.0,1012.4,50739,133.21,0.1316,3330320,9990960,77460,69110,2003971,42723150,42695675,BUYING is financially better,27474
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,11821963.0,626.0,51439,118.22,0.1888,2955491,8866472,68742,60455,1988680,37914637,33022168,BUYING is financially better,4892468
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,9934931.0,1284.4,35598,99.35,0.0774,2483733,7451198,57769,49583,1964607,31862670,33545325,RENTING is financially better,1682655
"2 BHK Apartment in moshi gaon, Bangalore",Bangalore,moshi gaon,2,21948924.0,1423.9,74716,219.49,0.1541,5487231,16461693,127627,119112,2043746,70393173,77094562,RENTING is financially better,6701389
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,10019650.0,891.1,36347,100.2,0.1124,2504912,7514738,58262,50070,1966011,32134375,33493124,RENTING is financially better,1358749
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,23846918.0,794.0,87378,238.47,0.3003,5961730,17885188,138664,130125,2049258,76480297,79052279,RENTING is financially better,2571982
"3 BHK Apartment in kotwal nagar, Mumbai",Mumbai,kotwal nagar,3,9195136.0,836.1,33601,91.95,0.11,2298784,6896352,53467,45333,1952350,29490047,30550951,RENTING is financially better,1060905
"4 BHK Apartment in shankar kalat nagar, Mumbai",Mumbai,shankar kalat nagar,4,14831157.0,1375.7,53862,148.31,0.1078,3707789,11123368,86239,77850,2013489,47565530,49530504,RENTING is financially better,1964974
"3 BHK Apartment in kuthwad colony, Mumbai",Mumbai,kuthwad colony,3,10077786.0,869.6,33288,100.78,0.1159,2519446,7558340,58600,50404,1966974,32320825,36170512,RENTING is financially better,3849687
"4 BHK Apartment in mayur colony, Mumbai",Mumbai,mayur colony,4,19187121.0,1358.6,67258,191.87,0.1412,4796780,14390341,111568,103086,2035725,61535696,65918092,RENTING is financially better,4382396
"4 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,4,29325226.0,1342.2,122436,293.25,0.2185,7331306,21993920,170519,161924,2062656,94049973,85833810,BUYING is financially better,8216162
"3 BHK Apartment in powai, Mumbai",Mumbai,powai,3,7973845.0,1530.4,33280,79.74,0.0521,1993461,5980384,46366,38352,1923315,25573201,23347998,BUYING is financially better,2225203
"2 BHK Apartment in pandhari nagar, Bangalore",Bangalore,pandhari nagar,2,5857699.0,690.5,21619,58.58,0.0848,1464425,4393274,34061,26554,1801715,18786434,19299991,RENTING is financially better,513557
"2 BHK Apartment in datta nager, Mumbai",Mumbai,datta nager,2,14362817.0,1325.5,58689,143.63,0.1084,3590704,10772113,83516,75139,2010536,46063500,43009370,BUYING is financially better,3054130
"3 BHK Apartment in alkapuri society, Mumbai",Mumbai,alkapuri society,3,34283361.0,1351.7,137272,342.83,0.2536,8570840,25712521,199349,190739,2066486,109951383,104799590,BUYING is financially better,5151793
"2 BHK Apartment in moshi gaon, Bangalore",Bangalore,moshi gaon,2,19461095.0,1307.7,78233,194.61,0.1488,4865274,14595821,113161,104676,2036521,62414368,59254551,BUYING is financially better,3159817
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,7198184.0,832.6,27236,71.98,0.0865,1799546,5398638,41856,33973,1891935,23085551,23208101,RENTING is financially better,122550
"4 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,4,11516328.0,1150.5,45971,115.16,0.1001,2879082,8637246,66964,58692,1985353,36934424,35310816,BUYING is financially better,1623608
"4 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,4,24258034.0,1421.9,112202,242.58,0.1706,6064508,18193526,141054,132511,2050452,77798801,62708449,BUYING is financially better,15090352
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,4978909.0,1521.9,19397,49.79,0.0327,1244727,3734182,28951,21860,1701816,15968036,15628967,BUYING is financially better,339069
"3 BHK Apartment in chintamani nagar, Bangalore",Bangalore,chintamani nagar,3,9804231.0,1441.5,41624,98.04,0.068,2451058,7353173,57009,48832,1962442,31443497,28172437,BUYING is financially better,3271060
"3 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,3,6474043.0,788.7,26739,64.74,0.0821,1618511,4855532,37645,29936,1850205,20763133,19170124,BUYING is financially better,1593009
"4 BHK Apartment in shankar kalat nagar, Mumbai",Mumbai,shankar kalat nagar,4,14083975.0,1334.4,53061,140.84,0.1055,3520994,10562981,81895,73525,2008779,45169216,45582884,RENTING is financially better,413668
"4 BHK Apartment in alkapuri society, Mumbai",Mumbai,alkapuri society,4,12669679.0,1417.6,52856,126.7,0.0894,3167420,9502259,73671,65346,1997908,40633377,37115014,BUYING is financially better,3518363
"3 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,3,19478428.0,1474.1,81863,194.78,0.1321,4869607,14608821,113262,104776,2036571,62469957,56603729,BUYING is financially better,5866229
"4 BHK Apartment in ashok nagar, Mumbai",Mumbai,ashok nagar,4,20024762.0,1683.2,66440,200.25,0.119,5006190,15018572,116439,107947,2038158,64222125,71646696,RENTING is financially better,7424571
"3 BHK Apartment in powai, Mumbai",Mumbai,powai,3,24845205.0,803.1,84161,248.45,0.3094,6211301,18633904,144468,135918,2052158,79681938,87582133,RENTING is financially better,7900194
"3 BHK Apartment in saint tukaram nagar, Bangalore",Bangalore,saint tukaram nagar,3,6803348.0,772.8,22351,68.03,0.088,1700837,5102511,39560,31764,1871071,21819259,24510142,RENTING is financially better,2690883
"2 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,2,17973079.0,884.9,59335,179.73,0.2031,4493270,13479809,104509,96041,2032199,57642099,64532061,RENTING is financially better,6889962
"2 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,2,3951701.0,1299.6,14842,39.52,0.0304,987925,2963776,22978,16701,1506617,12673640,12824584,RENTING is financially better,150944
"3 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,3,6177430.0,724.0,23777,61.77,0.0853,1544358,4633072,35920,28303,1828184,19811855,19610804,BUYING is financially better,201051
"4 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,4,12322272.0,1236.6,51286,123.22,0.0996,3080568,9241704,71651,63342,1994126,39519196,36188940,BUYING is financially better,3330255
"4 BHK Apartment in rakshak nagar, Mumbai",Mumbai,rakshak nagar,4,12968098.0,1419.9,52792,129.68,0.0913,3242024,9726074,75406,67068,2001156,41590447,38983196,BUYING is financially better,2607251
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,11009502.0,917.7,50125,110.1,0.12,2752376,8257126,64017,55768,1979837,35308964,29066072,BUYING is financially better,6242892
"3 BHK Apartment in malad west, Mumbai",Mumbai,malad west,3,13451951.0,1027.9,45448,134.52,0.1309,3362988,10088963,78220,69866,2004795,43142229,47510250,RENTING is financially better,4368021
"2 BHK Apartment in kotwal wadi, Bangalore",Bangalore,kotwal wadi,2,28172236.0,1350.9,102207,281.72,0.2085,7043059,21129177,163814,155224,2061765,90352177,94164831,RENTING is financially better,3812653
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,14117820.0,1361.9,56745,141.18,0.1037,3529455,10588365,82091,73721,2008992,45277761,42991736,BUYING is financially better,2286025
"3 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,3,14779008.0,1274.1,53758,147.79,0.116,3694752,11084256,85936,77548,2013160,47398281,49291505,RENTING is financially better,1893224
"2 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,2,7472364.0,732.7,31479,74.72,0.102,1868091,5604273,43450,35516,1904161,23964884,21657887,BUYING is financially better,2306997
"3 BHK Apartment in gujrat colony, Bangalore",Bangalore,gujrat colony,3,14910804.0,827.8,68719,149.11,0.1801,3727701,11183103,86702,78311,2013991,47820968,38734201,BUYING is financially better,9086767
"3 BHK Apartment in borhade wadi, Bangalore",Bangalore,borhade wadi,3,7862475.0,766.0,32464,78.62,0.1026,1965619,5896856,45718,37718,1920126,25216022,23288575,BUYING is financially better,1927448
"4 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,4,12953466.0,1453.7,48455,129.53,0.0891,3238366,9715100,75321,66984,2000996,41543520,42187361,RENTING is financially better,643841
"4 BHK Apartment in shankar kalat nagar, Mumbai",Mumbai,shankar kalat nagar,4,14908809.0,1596.9,58950,149.09,0.0934,3727202,11181607,86691,78299,2013978,47814570,46140311,BUYING is financially better,1674259
"3 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,3,3036411.0,815.5,12548,30.36,0.0372,759103,2277308,17656,12536,1228730,9738181,8985679,BUYING is financially better,752502
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,9552300.0,878.3,40791,95.52,0.1088,2388075,7164225,55544,47385,1958268,30635520,27268865,BUYING is financially better,3366656
"3 BHK Apartment in bhumkar nagar, Mumbai",Mumbai,bhumkar nagar,3,13558231.0,1301.2,55938,135.58,0.1042,3389558,10168673,78838,70482,2005465,43483084,40192504,BUYING is financially better,3290580
"2 BHK Apartment in urit nagar, Bangalore",Bangalore,urit nagar,2,13491567.0,1196.1,45909,134.92,0.1128,3372892,10118675,78450,70096,2005045,43269283,47401736,RENTING is financially better,4132453
"3 BHK Apartment in rakshak nagar, Mumbai",Mumbai,rakshak nagar,3,16694690.0,1590.6,60294,166.95,0.105,4173672,12521018,97075,88637,2025236,53542132,56008966,RENTING is financially better,2466834
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,10441750.0,1286.9,40872,104.42,0.0811,2610438,7831312,60716,52495,1973005,33488107,32630696,BUYING is financially better,857411
"4 BHK Apartment in prabhag 36, Bangalore",Bangalore,prabhag 36,4,26387151.0,1526.7,128173,263.87,0.1728,6596788,19790363,153434,144865,2056636,84627168,63562667,BUYING is financially better,21064501
"2 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,2,2540833.0,890.7,12175,25.41,0.0285,635208,1905625,14774,10379,1054753,8148796,6247182,BUYING is financially better,1901614
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,3029917.0,862.3,13086,30.3,0.0351,757479,2272438,17618,12507,1226583,9717354,8537542,BUYING is financially better,1179812
